Pi_(MPa),Pf_(MPa)
0,0.00000001
0.007068058,0.003725587
0.010050508,0.006964349
0.013107195,0.009486079
0.014840428,0.01086442
0.017924745,0.011453014
0.023614251,0.012443036
0.028434872,0.013417128
0.032629996,0.014251027
0.036965408,0.014687215
0.041837401,0.015136753
0.045090919,0.015136753
0.051065039,0.015836991
0.05686924,0.016821288
0.061031755,0.017076776
0.064403933,0.017467303
0.069099943,0.017599453
0.078538614,0.019558056
0.094348084,0.027249082
0.117664118,0.042830311
0.146354381,0.065321671
0.235459197,0.123031514
